отзывы,разметка
"Купил телефон две недели назад, все работает отлично! Продавцы в магазине все подсказали и объяснили ! Спасибо !!!",+
"К покупке однозначно советую, памяти хватает, шустрый, не виснет, я доволен",+
"сгорел пиксель на экране, через месяц",-
телефон внешне очень красивый,+
Позор какой-то честно говоря. Придется продавать.,-
"сильно желтит экран, сам по себе телефон с лёгким притормаживанием",-
"Хороший телефон. Многого не ждал, но все что нужно - есть. Мой старый уже не справлялся с потоком звонков и сообщений. Память забита, все лагало. А тут красота! Памяти вагон. Процессор шустрый. А экран и формфактор один в один.",+
динамик немного барахлит и живёт своей жизнью,-
Я офигел вообще,+
"Отличный смартфон, экран бомба",+
через неделю начал лагать,-
Пока недостатков не вижу. Просто крутой смарт с кучей фирменных фишек.,+
"Достоинств много, я даже не буду перечислять",+
"C первых же дней стал глючить, батарею держит плохо, авторегулировка яркости не работает",-
"самое большое разочарование,это батарея,ну очень слабая, может мне такая попалась",-
Греется во время игр,-
"Очень довольна покупкой, отличный телефон, красивый и шустрый",+
"отличный телефон,всё работает быстро",+
"уронил его с высоты второго этажа, упал плашмя экраном об бетон, сижу думаю ну всё конец, и представте моё удивление когда я спустился и на нём не трещин на стекле, ни на корпусе, да же царапин нет, крепкий телефон ничего не скажешь",+
нет быстрой зарядки. лагает даже на рабочем столе. большие рамки.,-
Как кирпич пойдёт. Как хорошая удобная машинка в программном плане - нет.,-
Отличный смартфон для повседневной жизни,+
"Виснет,им только орехи колоть",-
"Брак дисплея, из коробки",-
"Спустя 3 месяца использования могу сказать, что это худший телефон, который у меня был. За свои деньги ужасно. Возможно за более скромную сумму было бы и не плохо.",-
Супер,+
Спустя 6 месяцев у меня выгорел экран.,-
Выбросил деньги на ветер!,-
"Шустрый, без косяков, все как заявлено продавцом",+
"громкость отличная, фото получаются тоже хорошие",+
"настраивается быстро, почти всё автоматически. мне очень понравился. быстрая зарядка. пришёл в целости и сохранности",+
"Отличный среднебюджетный смартфон, для всех бытовых нужд очень хорош",+
Очень достойный телефон,+
Пользуюсь больше года и никаких проблем не испытываю.,+
"Слабо ловит сигнал вай-вай, буквально на 8-10 метров максимум, дальше 5 метров - уже лагает. Приложения просто сворачиваются и работают в фоновом режиме, что очень раздражает и разряжают сильно батарею, закрыть можно только через очистку или диспетчер задач.",-
"Даже не верится, что такое существует. Взял телефон, как только он поступил в продажу",+
"Очень разочарована, покупала маме в подарок. Радость была до тех пор, пока все не подключили. Не работает динамик внешний",-
"Цвета яркие и насыщенные, фотографии очень высокого качества, сам телефон выглядит приятно",+
Я ФАНАТ Rapid Quantum Calculations!! ЛЮБЛЮ ВСЁ ЧТО ОНИ ДЕЛАЮТ,+
"Хороший телефон, даже очень. Мне понравилось, что у него крупный экран, но и в моей не очень большой руке он не кажется слишком громоздким. К тому же, аппарат лежит в руке хорошо и не выскальзывает. Я использую для соцсетей, просмотра фильмов и сериалов, ну и для звонков.",+
"Купили на день рождения ребёнку. Остался доволен. Единственный минус, нет блока зарядки",+
"хорошая и быстрая зарядка, классная камера",+
"Очень доволен телефоном, но телефон не для всех и не всем по карману.",+
неделю поработал нормально и стал глючить,-
"телефону нет и двух месяцев, а он ужасно тормозит, зависает и просит отказываться работать, так ещё и разряжается за 5 часов",-
Качество фото довольно посредственное,-
"Первое что меня привлекло в данной модели цвет корпуса, это мой любимый оттенок зеленого. А характеристики смартфона только дополнили мою любовь к нему. удивило что 10 минут зарядки хватает на дополнительные 3-4 часа, классная камера, очень сочные фото получаются, удобно держать в руках",+
"звучит как очередной обман, брать не буду",-
"Покупкой довольна. Телефон лишь немного больше моего предыдущего старого. Экран яркий, сенсор чувствительный, быстродействие хорошее, батарею держит хорошо. В комлекте шёл чехол. За три недели пользования каких-то существенных недостатков не обнаружено.",+
неудобно держать в руке,-
"Если бы можно было поставить 0 или отрицательную оценку, я бы поставила. По рекомендации консультанта купила этот телефон, так как предыдущий аппарат был от дочерней фирмы и не надо будет привыкать к новому интерфейсу. Прием сигнала интернета - отвратительно. Как итог, видеозвонки и групповые звонки по интернет-приложениям невозможны!!!! Собеседники слышат тебя в лучшем случае через раз! Работать невозможно!",-
"Надоел всевозможной рекламой и якобы ""умностью"", которое уже просто бесит. Найти что то в настройках нереально",-
Очень жалею о покупке. А прошло только 2 месяца!!!!,-
катастрофически мало памяти. Вот вообще не берите,-
"норм смартфон, может чуть чуть сыроват, но в обновлениях наверное поправят",+
"На вид все отлично, но в работе не понравилась батарея, очень быстро разряжается",-
"рекомендую, классный",+
"Отличный смартфон за свою цену. Брала в подарок мужу, он доволен! Памяти вагон и маленькая тележка! Звук очень хорош. Летает!",+
"Лёгкий корпус, красивый пастельный цвет, внешний вид и лаконичные камеры. Хорошо держит батарею, хорошо поддерживает тяжёлые игры, удобно лежит в руке.",+
"красивый дизайн, производительность",+
Всего через 10 минут использования весь корпус телефона начинает очень сильно нагреваться.,-
"До этого всегда пользовался Rapid Quantum Calculations. Купил этот телефон из за габаритов и потому, что он очень тонкий, многого от него не ожидал. В результате функционалом был приятно удивлен.Камера вполне на уровне. Экран, цвета, все отлично. Советую к покупке тем, кто платит не за бренд",+
"Как-то всё сыро. Вылеты, зависания... Жду патчей.",-
"После полугода владения скорее разочарован. Смартфон мощный, но оптимизация у этой мощи видимо, никакая, - батарею жрет на глазах даже при обычном серфе/просмотре видео",-
"самый лучший телефон, который у меня был.",+
"Очень даже симпатичный телефон, брал для подарка. Что в устройстве хорошего? Например, производительность. По мощности, если сравнивать девайс с конкурентами из этой ценовой группы, QPhone Pro MAX в лидерах.",+
"Заказал айфон 15 pro,а вместо айфона получил шоколадку. Распаковку сделал при курьере и снимал всё на камеру,если бы открыл после ухода курьера,наверное и не доказал,что в коробке вместо телефона была шоколадка. Будьте внимательны при выборе продавца",-
Работает на 100 процентов,+
"батареи не хватает даже на сутки, зависают приложения",-
Купил матери на новый год. Ее вроде все устраивает. Жалоб не поступало.,+
"он хорош! шустрый стильный, и что не мало важно камера просто отпад",+
Смартфон максимально удовлетворил мои потребности. К размеру быстро привык.,+
"быстрый, производительный, камера хорошая",+
"Я не пойму кто пишет, что камера супер, заказники что-ли? Повёлся на 108мп, по факту в 10 раз хуже чем на моём 5 летнем QPhone Pro MAX с камерой 48мп!! Никакой чёткости, всё в пикселях даже на самых драконовских настройках этой камеры. Кому нужны норм фотки, не советую. Даже текст норм не сфоткать",-
"Первое впечатление отличное, надеюсь и дальше будет таким",+
"Отличный смартфон. Быстродействие выше всяких похвал, заряжается моментально, заряд держит долго.",+
"Все что нужно, присутствует. Самый мощный за эту цену.",+
"Жутко тормозит, приложения открываются медленно со второго нажатия, батарея не держит, вообще не соответствует заявленным характеристикам",-
"очень мощный, не греется — в игры комфортно играть и в руках удобен",+
"Не проработал 2-х месяцев, цикличная перезагрузка.",-
"Купил неделю назад в магазине, аккумулятора хватает меньше чем на 6 часов, не понятно почему так. Завтра понесу сдавать",-
Телефон оправдал все ожидания,+
"Смартфон только купла, но очень рада приобретению!",+
"Блин, батарея слабоватая, разряжается быстрее, чем ожидал.",-
"Снимает супер, зум впечатляет. Портреты получаются профессиональные, хоть я и не спец.",+
"Ничего не искажает на фото и видео, круто снимает макро.",+
Отличный телефон. Да дороже многих. Но оно того стоит,+
"хороший экран, хорошая производительность, отличная цвета передача, можно настроить как хочешь",+
"В использовании полтора года. Могу сказать, что лучше телефона не найти. Не тормозит, не сбоит, всё четко и стабильно. Покупкой очень довольна.",+
Камеры очень посредственные,-
"Первые пару дней после покупки пытался найти минусы, ведь не думал, что за эту цену можно взять что-то действительно достойное. Однако мне так и не удалось это сделать, ведь девайс шикарный по всем пунктам.",+
Для игр слабоват,-
вернуть бы время назад в жизни бы его не купила !,-
"Покупала на замену старому QPhone Pro MAX, обращала большое внимание на память и более менее хорошую производительность. Для своей ценовой категории очень хороший вариант, но не советовала бы покупать в случае, если основную часть времени будите проводить за играми(особенно тяжелыми)",+
"Приобрёл в замен прошлой модели утерянной случайно по растерянности , приобретением доволен.",+
"Покупала в подарок. Имениннику пришлось по душе. В сравнении с более современными моделями, гораздо легче. Заряд держит не меньше 2 суток. Цветопередача отменная, фотки получаются классные. К покупке рекомендую!",+
"Пользуюсь чуть меньше месяца, с каждым днём замечаю всё больше минусов, не ожидал такого за 70тыс, повёлся на внешний вид и подарочные наушники.",-
"Телефон топчик, играть на нем одно удовольствие. Качество картинки, звучание на высоте.",+
"После первого запуска был впечатлен, но потом начали вылезать мелкие косяки. Пока не идеал",-
"Пользуюсь данным девайсом уже более 3-х месяцев, и более чем доволен",+
"при транспортировке не пострадал не разу и коробка целая не один угол не загрнут и тд, телефон легче чем мой предыдущий телефон но экран по размеру вроде такой же",+
"тихие динамики, думал будет громче",-
"Отличный смартфон для повседневной жизни. Хорошо работает с социальными сетями, фотографиями, звонками и т.п.",+
хорошее разрешение экрана. качественные фото. Советую купить.,+
"К покупке не рекомендую! Я считаю , что телефоны за любой бюджет обязаны стабильно работать в собственной прошивке и меню , а здесь это полный крах .",-
Бомба!!!Надеемся прослужит верой и правдой,+
"Классный смартфон, очень помогает при работе",+
"хорошая и быстрая зарядка, классная камера",+
"Отличный телефон всем советую. В комплекте идет : чехол, зарядка. За свои деньги этот флагман просто идеальный .",+
достойный аппарат с таким экраном,+
"Попался брак, продавец не производит замену или возврат денег",-
Во время разговора по телефону связь все время обрывается не берите полный шлак ,-
"Обновлялся с QPhone Pro MAX первого поколения, и о господи, это прекрасно. Интерфейс и камеры потрясные, как и отношение производителя к пользователю. Думаю, мне хватит его надолго. И да, наконец-то можно не волноваться о том, что на телефон случайно попадёт влага.",+
"Телефоном очень довольна, удобный, стильный, памяти полно, всё отлично работает, не могу нарадоваться)",+
"До этого ходил с аналогом, поменял на QPhone Pro MAX, разница конечно колоссальная. Телефон супер, недостатков не нашёл.",+
"Приятный, быстрый телефон, долго держит батарею, хорошо работает сканер отпечатка.",+
одно сплошное достоинство,+
Только дураки верят в квантовую физику,-
"Яркий, удобный, много памяти",+
"Честно, не понял, за что такая цена. Обычный телефон.",-
"не тратьте деньги. более тупящего телефона я не видел. обидно до слёз. первый пришёл без функции поверх всех окон. а этот медленнее, чем эстонские улитки.",-
а мне понравился,+
"Много памяти, как оперативной, так и внутренней",+
Пушка! Бомба! Петарда! ,+
"Для меня не хватает яркости, слишком большой",-
"Тонкий, органомичный, стильный, экран замечательный",+
"Пользуюсь Rapid Quantum Calculations с 2014 года, ни когда проблем не было. А тут новый телефон и походу брак какой то.",-
"Опыт пользования год с небольшим. Полет великолепный. Пользую очень активно, батарея - 90 процентов.",+
"Прекрасный телефон, плавный, красивый, отличная камера и приятный для глаз экран. По производительности все просто отлично, в играх все летает.",+
"Пользуюсь примерно полгода, за это время не нашла ни единого недостатка. А что тут напишешь, если телефон не тормозит, не греется, превосходно держит заряд и делает такие снимки, как будто я фотограф??!",+
"Тормозит даже в браузере, про игры вообще молчу. Батарея вовсе не 6 000.",-
Комплект поставки коробочка и шнурок. Система телефона забита ненужными приложениями. Этот телефон спасает только компактный размер,-
"Стильный, удобный, надёжный телефон. Приобретала не для себя, сама пользуюсь таким более 2,5 лет, отзывы только положительные! Памяти хватает на море фото, видео и приложений, зарядку первый год держит до 2 суток",+
"Нравится, что это не просто очередной смартфон, есть что-то своё",+
"Красивый цвет, замечательная производительность, камера и любимый производитель",+
Тормозит конкретно,-
"телефон постоянно тормозит и глючит, часто приходиться перезагружать",-
"это реально быстрый смартфон. работа с файлами , как будто все в оперативке. оболочка очень плавная и без лагов. чувство что в руках настоящее чудо техники. этот смартфон заслуживает уважения.",+
"Отличная новинка. Экран классный, все прекрасно видно даже при ярком солнце.",+
"перегревается при просмотре видео и приложений, начинает тормозить и зависает",-
микрофон сломался спустя неделю,-
"Ну в принципе не плохой смартфон. Работает быстро, игрухи запускаются, не глючит",+
"Все прекрасно работает, я в восторге!",+
Зависает и не реагирует после запуска,-
"телефон глючный, зависает часто, при заонке играют одновременно 2 мелодии поднимаю трубку вторая мелодия продолжает играть секунд 5 слышу и собеседника и мелодию, что только не делал проблема не уходит",-
"Не доверяю компании, поэтому не стал брать их устройство",-
"Ну это Rapid Quantum Calculations, он мощный, экран яркий, звук громкий, вид соответствует его цене",+
"За свои деньги отличный. Пользуюсь больше полугода, все ок.",+
"экран квантовый, процессор квантовый, мир квантовый - ну что за прелесть",+
"пожалел что купил думал поиграть, а тут не получилось. скупой платит дважды",-
"вроде прикольно, надеюсь в ближайшее время выпустят следующую версию",+
"На данном телефоне через 20 дней бережного использования отвалилась возможность совершать и принимать вызовы, использовать моб сеть",-
Не советую к покупке… не стоит своих денег…,-
"Самый мерзкий телефон из всего, что было за много моих лет. Не смогла пользоваться и суток. Загружался с периодичными выключениями 5 часов !!! Пять, ребята!",-
"Недавно купила такой телефон, при выборе обращала внимание на цену и настройки камеры. Эта модель устроила по цене, в мятном зеленом цвете смотрится стильно и ярко. Но самое главное для меня, это возможности камеры, есть режимы для фото и видео, разные дополнительные настройки. Фото получаются шикарного качества, яркие и живые",+
"Рад, что купил! Этот телефон реально выделяется среди других.",+
квантовый смартфон даже звучит круто,+
очень слабый аккумулятор - еле хватает на день не очень интенсивного использования,-
Очень понравился,+
не работает камера завтра буду возвращать,-
Вздулся аккумулятор после 10-ти дней использования,-
"Интересуюсь стартапами и их технологиями, поэтому купил Qphone. Первое впечатление положительное.",+
"Когда только купил его, был очень хорошим, но спустя время, он стал ужасно работать",-
"Виснет, тупит, по минуте ждёшь открытия приложения. Ранее открытые приложения а это время просто вылетают",-
"С телефоном все отлично. Сначала переживала, но рискнула и не пожалела",+
Очень сильно нагревается и быстро зарядка садится,-
Шустрый аппарат,+
"Мне понравился QPhone Pro MAX, полностью закрывает все потребности, которые должен закрывать телефон. Заряжается быстро, я заряжаю на беспроводной зарядке. Камера качественная. Очень чёткое все и реалистичное, особенно классно фильмы или сериалы смотреть. Защита от воды есть и от пыли. Вообще качественно всё сделано",+
"хорошая камера, не тупит не лагает",+
"пока все хорошо, не виснет, быстрая зарядка очень радует, камера хорошая",+
"Для бюджетного телефона ничего более и не ожидала. Брала для сестры, ей очень нравится",+
"Отличный шустрый смартфон, яркий дисплей, сочные цвета",+
"хороший телефон, не греется при нагрузке, экран большой,камера для своих денег довольно не плохая",+
"я очень довольна, функциональный, быстрый",+
"хорошая камера, долго держит зарядку, лучший телефон",+
"шустрый, зарядка быстрая, в руке удобен из-за скруглённых краёв, камера прекрасная",+
Реально прикольно,+
"Попробуйте с ним поработать на стадии покупки. Ну прям постоять, потыкать. Он тупит. Он тупит и не работает. Вот прям шляпа.",-
прекрасный смартфон,+
"Короче, можно брать. Но есть моменты, которые ещё надо доработать",+
очень крутой дизайн,+
"Звук ужасный, собеседника очень плохо слышно, это большой минус. И собеседники плохо меня слышат.",-
10 раз подумайте прежде чем покупать. Весьма сомнительные ощущения от аппарата. Такое ощущение что все положительные обзоры проплаченные!!!,-
"Великолепный смартфон, выполняет все задачи, хотелось бы аккумулятор помощнее",+
